,English,Hindi
7,"Class Central • Find the best courses, wherever they exist.",None
24,Class Central,None
31,            Courses,None
32,          ,None
36,Class Central,None
45,Rankings,None
51,Collections,None
59,Subjects,None
60,View all,None
65,Computer Science,None
71,Health & Medicine,None
77,Mathematics,None
83,Business,None
89,Humanities,None
95,Engineering,None
101,Science,None
107,Education & Teaching,None
113,Social Sciences,None
119,Art & Design,None
125,Data Science,None
131,Programming,None
137,Personal Development,None
143,Information Security (InfoSec),None
148,View all Subjects,None
154,Universities,None
159,The Report,None
165,        Courses from 1000+ universities,None
174,Rankings,None
192,Best Courses,None
197,Best of All Time,None
202,Best of the Year 2022,None
207,Best of the Year 2021,None
214,Most Popular Courses,None
219,Most Popular of All Time,None
224,Most Popular of the Year 2022,None
229,Most Popular of the Year 2021,None
240,Collections,None
268,Monthly Course Reports,None
273,Starting this Month,None
278,New Online Courses,None
283,Most Popular,None
294,Computer Science,None
300,Artificial Intelligence,None
305,Algorithms and Data Structures,None
310,Internet of Things,None
315,Information Technology,None
320,Computer Networking,None
325,Machine Learning,None
330,DevOps,None
335,Deep Learning,None
340,Cryptography,None
345,Quantum Computing,None
350,Human-Computer Interaction (HCI),None
355,Distributed Systems,None
360,Blockchain Development,None
365,Operating Systems,None
370,Computer Graphics,None
375,View all Computer Science,None
386,Health & Medicine,None
392,Nutrition & Wellness,None
397,Disease & Disorders,None
402,Public Health,None
407,Health Care,None
412,Nursing,None
417,Anatomy,None
422,Veterinary Science,None
427,Continuing Medical Education (CME),None
432,View all Health & Medicine,None
443,Mathematics,None
449,Statistics & Probability,None
454,Foundations of Mathematics,None
459,Calculus,None
464,Discrete Mathematics,None
469,Trigonometry,None
474,Geometry,None
479,Algebra,None
484,Precalculus,None
489,Number Theory,None
494,Combinatorics,None
499,Mathematical logic,None
504,Linear Programming,None
509,View all Mathematics,None
520,Business,None
526,Management & Leadership,None
531,Finance,None
536,Entrepreneurship,None
541,Marketing,None
546,Strategic Management,None
551,Industry Specific,None
556,Business Intelligence,None
561,Accounting,None
566,Human Resources,None
571,Project Management,None
576,Sales,None
581,Design Thinking,None
586,Business Software,None
591,Risk Management,None
596,Corporate Social Responsibility,None
601,Customer Service,None
606,Nonprofit Management,None
611,Innovation,None
616,Operations Management,None
621,View all Business,None
632,Humanities,None
638,History,None
643,Literature,None
648,Language Learning,None
653,Grammar & Writing,None
658,Philosophy,None
663,Religion,None
668,ESL,None
673,Culture,None
678,Sports,None
683,Journalism,None
688,Ethics,None
693,Linguistics,None
698,Food,None
703,Library Science,None
708,Reading,None
713,Crisis Management,None
718,View all Humanities,None
729,Engineering,None
735,Electrical Engineering,None
740,Mechanical Engineering,None
745,Civil Engineering,None
750,Robotics,None
755,Nanotechnology,None
760,GIS,None
765,Textiles,None
770,Manufacturing,None
775,BIM,None
780,CAD,None
785,Chemical Engineering,None
790,Energy Systems,None
795,Aerospace Engineering,None
800,View all Engineering,None
811,Science,None
817,Chemistry,None
822,Physics,None
827,Environmental Science,None
832,Astronomy,None
837,Biology,None
842,Agriculture,None
847,Materials Science,None
852,Earth Science,None
857,Applied Science,None
862,Forensic Science,None
867,View all Science,None
878,Education & Teaching,None
884,K12,None
889,Higher Education,None
894,STEM,None
899,Teacher Professional Development,None
904,Course Development,None
909,Online Education,None
914,Test Prep,None
919,Pedagogy,None
924,View all Education & Teaching,None
935,Social Sciences,None
941,Sociology,None
946,Economics,None
951,Psychology,None
956,Anthropology,None
961,Political Science,None
966,Law,None
971,Urban Planning,None
976,Human Rights,None
981,Sustainability,None
986,Governance,None
991,Archaeology,None
996,Social Work,None
1001,View all Social Sciences,None
1012,Art & Design,None
1018,Music,None
1023,Digital Media,None
1028,Visual Arts,None
1033,Design & Creativity,None
1038,View all Art & Design,None
1049,Data Science,None
1055,Bioinformatics,None
1060,Big Data,None
1065,Data Mining,None
1070,Data Analysis,None
1075,Data Visualization,None
1080,Jupyter Notebooks,None
1085,View all Data Science,None
1096,Programming,None
1102,Mobile Development,None
1107,Web Development,None
1112,Databases,None
1117,Game Development,None
1122,Programming Languages,None
1127,Software Development,None
1132,Cloud Computing,None
1137,View all Programming,None
1148,Personal Development,None
1154,Communication Skills,None
1159,Career Development,None
1164,Self Improvement,None
1169,Presentation Skills,None
1174,Resilience,None
1179,View all Personal Development,None
1190,Information Security (InfoSec),None
1196,Cybersecurity,None
1201,Network Security,None
1206,Ethical Hacking,None
1211,Digital Forensics,None
1216,Reverse Engineering,None
1221,Penetration Testing,None
1226,Malware Analysis,None
1231,DevSecOps,None
1236,OSINT (Open Source Intelligence),None
1241,Threat Intelligence,None
1246,Information Security Certifications,None
1251,Red Team,None
1256,Blue Team,None
1261,View all Information Security (InfoSec),None
1272,            The Report,None
1273,          ,None
1282,          2022 Year in Review: The “New Normal” that Wasn’t,None
1283,        ,None
1285,"The pandemic ushered in a “new normal” in online learning, but it culminated in layoffs and stock drops.",None
1289,          Dhawal Shah,None
1290,        ,None
1291,"Jan 02, 2023",None
1295,Latest,None
1298,Learn How To Think Like A Data Scientist: A Review of Exploratory Data Analysis with MATLAB,None
1301,Empowering Future Educators: A Review of ‘Learning to Teach – Mentoring and Tutoring Student Teachers’,None
1304,"Udemy Lays Off ~200 Staff, After Being Only Major Player to Avoid Layoffs in 2022",None
1307,9 Best DaVinci Resolve Courses to Take in 2023,None
1310,25 Most Popular Online Courses Starting in March 2023,None
1317,      Visit,None
1318,      The Report,None
1335,Organize and share your learning with Class Central Lists.,None
1336,View our Lists Showcase,None
1338,          Sign up,None
1339,        ,None
1345,Log in,None
1346,or,None
1348,                Sign up,None
1349,              ,None
1362,          Log in,None
1363,        ,None
1367,          Sign up,None
1368,        ,None
1385,        Find your next course.,None
1386,      ,None
1413,700+ Free Google Certifications,None
1414, Trending,None
1421,Most common,None
1427,digital marketing,None
1435,law,None
1443,machine learning,None
1450,Popular subjects,None
1456,Marketing,None
1457,"5,037 courses",None
1465,Computer Science,None
1466,"8,575 courses",None
1474,Business,None
1475,"19,506 courses",None
1482,Popular courses,None
1488,Food as Medicine,None
1489,Monash University,None
1497,Whole genome sequencing of bacterial genomes - tools and applications,None
1498,Technical University of Denmark (DTU),None
1506,The Art of Structural Engineering: Vaults,None
1507,Princeton University,None
1519,          Or browse by  subject  or university,None
1521,Learn more,None
1525,Popular coursesFree CertificatesIvy LeagueStanfordBest of All TimeComputer ScienceSustainabilityMITGoogleAmazonBusinessBest Courses GuidesDeals and Discounts ,None
1531,"        Find the best courses, wherever they exist",None
1532,      ,None
1540,~1000 Universities,None
1545,Harvard University,None
1551,Stanford University,None
1557,IIT Kharagpur,None
1563,MIT,None
1569,Rice University,None
1575,IIT Madras,None
1581,Columbia University,None
1587,Cornell University,None
1593,U. of Edinburgh,None
1599,Purdue University,None
1605,U. of Pennsylvania,None
1611,Duke University,None
1617,U. of Michigan,None
1624,              Browse universities,None
1625,            ,None
1630,70 Providers,None
1635,Coursera,None
1641,edX,None
1647,FutureLearn,None
1653,Udemy,None
1659,Swayam,None
1665,LinkedIn Learning,None
1671,Skillshare,None
