Unnamed: 0,English,Hindi
7,"Class Central • Find the best courses, wherever they exist.","क्लास सेंट्रल • सर्वश्रेष्ठ पाठ्यक्रम खोजें, चाहे वे कहीं भी हों।"
24,Class Central,क्लास सेंट्रल
31,            Courses,पाठ्यक्रम
32,          ,
36,Class Central,क्लास सेंट्रल
45,Rankings,रैंकिंग
51,Collections,संग्रह
59,Subjects,विषयों
60,View all,सभी को देखें
65,Computer Science,कंप्यूटर विज्ञान
71,Health & Medicine,स्वास्थ्य और चिकित्सा
77,Mathematics,अंक शास्त्र
83,Business,व्यवसाय
89,Humanities,मानविकी
95,Engineering,अभियांत्रिकी
101,Science,विज्ञान
107,Education & Teaching,शिक्षा और शिक्षण
113,Social Sciences,सामाजिक विज्ञान
119,Art & Design,कला डिजाइन
125,Data Science,डेटा विज्ञान
131,Programming,प्रोग्रामिंग
137,Personal Development,व्यक्तिगत विकास
143,Information Security (InfoSec),सूचना सुरक्षा (इन्फोसेक)
148,View all Subjects,सभी विषय देखें
154,Universities,विश्वविद्यालयों
159,The Report,
165,        Courses from 1000+ universities,1000+ विश्वविद्यालयों से पाठ्यक्रम
174,Rankings,रैंकिंग
192,Best Courses,सर्वश्रेष्ठ पाठ्यक्रम
197,Best of All Time,बेस्ट ऑफ ऑल टाइम
202,Best of the Year 2022,वर्ष 2022 का सर्वश्रेष्ठ
207,Best of the Year 2021,वर्ष 2021 का सर्वश्रेष्ठ
214,Most Popular Courses,सबसे लोकप्रिय पाठ्यक्रम
219,Most Popular of All Time,अब तक का सबसे लोकप्रिय
224,Most Popular of the Year 2022,वर्ष 2022 का सर्वाधिक लोकप्रिय
229,Most Popular of the Year 2021,साल 2021 का सबसे लोकप्रिय
240,Collections,संग्रह
268,Monthly Course Reports,मासिक पाठ्यक्रम रिपोर्ट
273,Starting this Month,इस महीने की शुरुआत
278,New Online Courses,नए ऑनलाइन पाठ्यक्रम
283,Most Popular,सबसे लोकप्रिय
294,Computer Science,कंप्यूटर विज्ञान
300,Artificial Intelligence,कृत्रिम होशियारी
305,Algorithms and Data Structures,एल्गोरिदम और डेटा संरचनाएं
310,Internet of Things,चीजों की इंटरनेट
315,Information Technology,सूचान प्रौद्योगिकी
320,Computer Networking,कम्प्यूटर नेट्वर्किंग
325,Machine Learning,यंत्र अधिगम
330,DevOps,DevOps
335,Deep Learning,ध्यान लगा के पढ़ना या सीखना
340,Cryptography,क्रिप्टोग्राफी
345,Quantum Computing,क्वांटम कम्प्यूटिंग
350,Human-Computer Interaction (HCI),मानव-कंप्यूटर इंटरेक्शन (HCI)
355,Distributed Systems,वितरित प्रणाली
360,Blockchain Development,ब्लॉकचेन विकास
365,Operating Systems,ऑपरेटिंग सिस्टम
370,Computer Graphics,कंप्यूटर चित्रलेख
375,View all Computer Science,सभी कम्प्यूटर साइंस देखें
386,Health & Medicine,स्वास्थ्य और चिकित्सा
392,Nutrition & Wellness,पोषण और कल्याण
397,Disease & Disorders,रोग और विकार
402,Public Health,सार्वजनिक स्वास्थ्य
